Date,"Adams County, ND","Barnes County, ND","Benson County, ND","Billings County, ND","Bottineau County, ND","Bowman County, ND","Burke County, ND","Burleigh County, ND","Cass County, ND","Cavalier County, ND","Dickey County, ND","Divide County, ND","Dunn County, ND","Eddy County, ND","Emmons County, ND","Foster County, ND","Golden Valley County, ND","Grand Forks County, ND","Grant County, ND","Griggs County, ND","Hettinger County, ND","Kidder County, ND","LaMoure County, ND","Logan County, ND","McHenry County, ND","McIntosh County, ND","McKenzie County, ND","McLean County, ND","Mercer County, ND","Morton County, ND","Mountrail County, ND","Nelson County, ND","Oliver County, ND","Pembina County, ND","Pierce County, ND","Ramsey County, ND","Ransom County, ND","Renville County, ND","Richland County, ND","Rolette County, ND","Sargent County, ND","Sheridan County, ND","Sioux County, ND","Slope County, ND","Stark County, ND","Steele County, ND","Stutsman County, ND","Towner County, ND","Traill County, ND","Walsh County, ND","Ward County, ND","Wells County, ND","Williams County, ND"
09/1965,0.0,0.0,0.0,114178.0,218065.0,58733.0,242041.0,0.0,0.0,0.0,0.0,18440.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4325.0,0.0,337451.0,0.0,0.0,0.0,42005.0,0.0,0.0,0.0,0.0,0.0,0.0,202183.0,0.0,0.0,0.0,0.0,0.0,0.0,8744.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,373593.0
09/1966,0.0,0.0,0.0,190210.0,209839.0,65735.0,231410.0,0.0,0.0,0.0,0.0,29809.0,2582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3122.0,0.0,596952.0,0.0,0.0,0.0,94270.0,0.0,0.0,0.0,0.0,0.0,0.0,184890.0,0.0,0.0,0.0,0.0,0.0,12996.0,5068.0,0.0,0.0,0.0,0.0,0.0,534.0,0.0,564307.0
09/1967,0.0,0.0,0.0,184951.0,188495.0,57253.0,223254.0,0.0,0.0,0.0,0.0,27436.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3162.0,0.0,535759.0,0.0,0.0,0.0,77060.0,0.0,0.0,0.0,0.0,0.0,0.0,180471.0,0.0,0.0,0.0,0.0,0.0,8151.0,126165.0,0.0,0.0,0.0,0.0,0.0,7303.0,0.0,520782.0
09/1968,0.0,0.0,0.0,188478.0,191262.0,50981.0,190484.0,0.0,0.0,0.0,0.0,25094.0,1719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2461.0,0.0,454782.0,0.0,0.0,0.0,87051.0,0.0,0.0,0.0,0.0,0.0,0.0,171858.0,0.0,0.0,0.0,0.0,0.0,6531.0,107852.0,0.0,0.0,0.0,0.0,0.0,29194.0,0.0,526373.0
09/1969,0.0,0.0,0.0,159737.0,229058.0,53822.0,164568.0,0.0,0.0,0.0,0.0,22636.0,1579.0,0.0,0.0,0.0,6244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2944.0,0.0,390504.0,0.0,0.0,0.0,68778.0,0.0,0.0,0.0,0.0,0.0,0.0,150576.0,0.0,0.0,0.0,0.0,0.0,5541.0,127852.0,0.0,0.0,0.0,0.0,0.0,35139.0,0.0,507281.0
09/1970,0.0,0.0,0.0,142600.0,233217.0,70726.0,151787.0,0.0,0.0,0.0,0.0,23812.0,795.0,0.0,0.0,0.0,5471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2635.0,0.0,324397.0,0.0,0.0,0.0,50350.0,0.0,0.0,0.0,0.0,0.0,0.0,138375.0,0.0,0.0,0.0,0.0,0.0,3605.0,163863.0,0.0,0.0,0.0,0.0,0.0,30972.0,0.0,453620.0
09/1971,0.0,0.0,0.0,143962.0,238232.0,83849.0,153596.0,0.0,0.0,0.0,0.0,19453.0,1453.0,0.0,0.0,0.0,5320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2349.0,0.0,353649.0,0.0,0.0,0.0,34910.0,0.0,0.0,0.0,0.0,0.0,0.0,134275.0,0.0,0.0,0.0,0.0,0.0,10300.0,136337.0,0.0,0.0,0.0,0.0,0.0,62965.0,0.0,404170.0
09/1972,0.0,0.0,0.0,160108.0,241077.0,83400.0,136292.0,0.0,0.0,0.0,0.0,15697.0,1382.0,0.0,0.0,0.0,7681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2483.0,0.0,319663.0,0.0,0.0,0.0,35418.0,0.0,0.0,0.0,0.0,0.0,0.0,161042.0,0.0,0.0,0.0,0.0,0.0,9451.0,97011.0,0.0,0.0,0.0,0.0,0.0,33171.0,0.0,386481.0
09/1973,0.0,0.0,0.0,190097.0,229904.0,131644.0,108783.0,0.0,0.0,0.0,0.0,16346.0,252.0,0.0,0.0,0.0,5554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2051.0,0.0,322247.0,0.0,0.0,0.0,31897.0,0.0,0.0,0.0,0.0,0.0,0.0,142437.0,0.0,0.0,0.0,0.0,0.0,9198.0,78460.0,0.0,0.0,0.0,0.0,0.0,22545.0,0.0,359016.0
09/1974,0.0,0.0,0.0,164531.0,217816.0,121199.0,96755.0,0.0,0.0,0.0,0.0,16317.0,20.0,0.0,0.0,0.0,5384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2334.0,0.0,362814.0,0.0,0.0,0.0,27312.0,0.0,0.0,0.0,0.0,0.0,0.0,129992.0,0.0,0.0,0.0,0.0,0.0,5653.0,104914.0,0.0,0.0,0.0,0.0,0.0,17958.0,0.0,348259.0
09/1975,0.0,0.0,0.0,199912.0,207517.0,117309.0,82602.0,0.0,0.0,0.0,0.0,24241.0,3723.0,0.0,0.0,0.0,4072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2391.0,0.0,363582.0,0.0,0.0,0.0,24813.0,0.0,0.0,0.0,0.0,0.0,0.0,155561.0,0.0,0.0,0.0,0.0,0.0,6851.0,168484.0,0.0,0.0,0.0,0.0,0.0,14313.0,0.0,376946.0
09/1976,0.0,0.0,0.0,166032.0,202889.0,153150.0,78498.0,0.0,0.0,0.0,0.0,22002.0,10345.0,0.0,0.0,0.0,4713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2595.0,0.0,385754.0,0.0,0.0,0.0,20712.0,0.0,0.0,0.0,0.0,0.0,0.0,167373.0,0.0,0.0,0.0,0.0,0.0,6296.0,172598.0,0.0,0.0,0.0,0.0,0.0,10926.0,0.0,389002.0
09/1977,0.0,0.0,0.0,192320.0,197839.0,145113.0,75321.0,0.0,0.0,0.0,0.0,18966.0,185039.0,0.0,0.0,0.0,4350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2210.0,0.0,463251.0,0.0,0.0,0.0,18409.0,0.0,0.0,0.0,0.0,0.0,0.0,146329.0,0.0,0.0,0.0,0.0,0.0,8896.0,172704.0,0.0,0.0,0.0,0.0,0.0,10078.0,0.0,395324.0
09/1978,0.0,0.0,0.0,261949.0,197807.0,142741.0,61026.0,0.0,0.0,0.0,0.0,18533.0,164746.0,0.0,0.0,0.0,5358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1735.0,0.0,554455.0,0.0,0.0,0.0,14872.0,0.0,0.0,0.0,0.0,0.0,0.0,131485.0,0.0,0.0,0.0,0.0,0.0,5753.0,156871.0,0.0,0.0,0.0,0.0,0.0,8288.0,0.0,365483.0
09/1979,0.0,0.0,0.0,637717.0,222475.0,130195.0,61850.0,0.0,0.0,0.0,0.0,18224.0,241633.0,0.0,0.0,0.0,30706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1515.0,0.0,644444.0,0.0,0.0,0.0,45219.0,0.0,0.0,0.0,0.0,0.0,0.0,112424.0,0.0,0.0,0.0,0.0,0.0,3508.0,134664.0,0.0,0.0,0.0,0.0,0.0,6939.0,0.0,385560.0
