"api","cum_gor_180","cum_gor_30","cum_gor_365","cum_gor_545","cum_gor_730","cum_gor_90","cum_oil_180","cum_oil_30","cum_oil_365","cum_oil_545","cum_oil_730","cum_oil_90","cum_water_180","cum_water_30","cum_water_365","cum_water_545","cum_water_730","cum_water_90","cum_wc_180","cum_wc_30","cum_wc_365","cum_wc_545","cum_wc_730","cum_wc_90"
"33061017880000","389.41","276.891","461.188","540.282","603.646","300.357","58414","13713","124420","148939","168607","33317","17942","3569","29363","36125","41212","7344","23.498","20.652","19.094","19.52","19.642","18.062"
"33053048160000","1368.527","1074.181","1809.755","","","1245.169","109308","36923","154895","","","72236","8172","2547","12665","","","5257","6.956","6.453","7.558","","","6.784"
"33053030450000","1593.758","1359.498","1656.025","1661.218","1668.066","1466.425","88312","32818","118532","141935","161210","64527","8547","3257","11179","14578","17265","7306","8.824","9.028","8.618","9.314","9.674","10.171"
"33061027730000","479.744","409.321","","","","498.84","32015","12037","","","","21123","70902","23985","","","","48725","68.892","66.584","","","","69.759"
"33025026030000","","","","","","","","","","","","","","","","","","","","","","","",""
"33025014510000","634.028","645.698","715.719","692.741","720.48","650.278","63535","19410","96095","117435","137432","43160","33214","5209","52800","72615","91991","19629","34.33","21.158","35.461","38.208","40.097","31.262"
"33053035310000","2501.259","2568.738","2471.844","2553.165","2726.306","2726.853","83414","32871","116922","141833","163807","57006","34501","20331","46373","53829","61424","28242","29.259","38.215","28.398","27.511","27.272","33.129"
"33061029180000","","646.418","","","","","","27640","","","","","","19521","","","","","","41.392","","","",""
"33061024560000","586.1","368.133","672.157","","","485.571","34965","8410","53062","","","22178","25480","5933","35640","","","16161","42.154","41.365","40.179","","","42.153"
"33105028190000","1686.566","1636.623","1746.918","","","1640.477","40471","6302","61320","","","24132","59406","6248","90134","","","23064","59.479","49.785","59.512","","","48.869"
"33053053020000","","1429.067","","","","","","21626","","","","","","10729","","","","","","33.16","","","",""
"33105031490000","598.415","644.791","639.663","","","819.042","31159","8015","50400","","","19137","188720","56541","316430","","","110031","85.829","87.584","86.261","","","85.184"
"33053056530000","","1092.426","","","","","","22656","","","","","","3071","","","","","","11.937","","","",""
"33061026830000","596.999","475.946","","","","571.336","30794","7587","","","","16941","128892","88941","","","","106092","80.716","92.14","","","","86.231"
"33061020970000","333.692","444.028","342.043","299.069","387.31","398.019","61407","18161","104209","157649","205675","39277","974","312","1496","3328","3594","438","1.561","1.689","1.415","2.067","1.717","1.103"
"33105028610000","1236.253","1337.724","1270.894","","","1252.52","69925","19208","104587","","","44139","57254","22481","82708","","","39577","45.018","53.925","44.159","","","47.275"
"33105014330000","2754.366","1704.225","3041.375","3176.837","3193.864","2381.93","859","213","1571","2245","2966","487","2196","580","4040","5770","7641","1213","71.882","73.14","72.001","71.99","72.037","71.353"
"33025012980000","989.338","972.973","","","","987.397","44550","12284","","","","28802","12423","2383","","","","7576","21.805","16.247","","","","20.826"
"33053046760000","1282.316","1105.01","1132.923","","","1261.173","66840","9780","110959","","","25351","6650","0","8014","","","1807","9.049","","6.736","","","6.654"
"33105029710000","","467.876","","","","473.001","","8545","","","","28260","","28536","","","","75030","","76.956","","","","72.64"
"33053032220000","1287.569","1026.605","1294.288","1360.384","1361.906","1252.638","54380","21688","77567","91977","104063","39238","1813","834","3289","3355","3596","1442","3.226","3.703","4.068","3.519","3.34","3.545"
