"api","file_no","Current_Operator","Current_Well_Name","Lease_Name","Lease_Number","Original_Operator","Original_Well_Name","Spud_Date","TD","County_Name","Township","Range","Section","QQ","Footages","Field_Name","Produced_Pools","Wellbore","Latitude","Longitude","Well_Type","Well_Status","CTB","Well_Status_Date"
"33061020000000","22228","SLAWSON EXPLORATION COMPANY, INC.","VIXEN FEDERAL  2-19-30H","VIXEN FEDERAL","2-19-30H","SLAWSON EXPLORATION COMPANY, INC.","VIXEN FEDERAL  2-19-30H","09/23/2014","","MOUNTRAIL","152 N","91 W","18","LOT4","405 FSL  1021 FWL","VAN HOOK","","HORIZONTAL","47.978940288375981","-102.38122732937232","OG","DRL","","09/23/2014"
"33061020010000","22229","SLAWSON EXPLORATION COMPANY, INC.","PHOENIX  2-18H","PHOENIX","2-18H","SLAWSON EXPLORATION COMPANY, INC.","PHOENIX  2-18H","12/02/2014","","MOUNTRAIL","152 N","91 W","18","LOT4","555 FSL  1021 FWL","BIG BEND","Confidential","Confidential","47.979351482304644","-102.38122732937232","Confidential","Confidential","","Confidential"
"33023008070000","22230","SM ENERGY COMPANY","TORGESON  2-30HNB","TORGESON","2-30HNB","SM ENERGY COMPANY","TORGESON  2-30HNB","03/13/2012","18595","DIVIDE","163 N","99 W","30","NWNE","370 FNL  1426 FEL","WEST AMBROSE","BAKKEN","HORIZONTAL","48.922361367164442","-103.58023281623103","OG","A","221996","04/28/2012"
"33023008080000","22231","SM ENERGY COMPANY","TORGESON  2-30HNA","TORGESON","2-30HNA","SM ENERGY COMPANY","TORGESON  2-30HNA","02/06/2012","18596","DIVIDE","163 N","99 W","30","NWNE","370 FNL  1375 FEL","WEST AMBROSE","BAKKEN","HORIZONTAL","48.92236117160364","-103.58002063276135","OG","A","221996","04/28/2012"
"33025015840000","22234","OXY USA INC.","STATE LITTLE MISSOURI  1-30-31H-142-95","STATE LITTLE MISSOURI","1-30-31H-142-95","OXY USA INC.","STATE LITTLE MISSOURI  1-30-31H-142-95","03/12/2012","20740","DUNN","142 N","95 W","19","SWSE","250 FSL  2075 FEL","MANNING","BAKKEN","HORIZONTAL","47.097485976858152","-102.76554492527673","OG","A","122234","07/27/2012"
"33053039400000","22235","CONTINENTAL RESOURCES, INC.","SYRACUSE  2-23H","SYRACUSE","2-23H","CONTINENTAL RESOURCES, INC.","SYRACUSE  2-23H","03/22/2012","21010","MCKENZIE","152 N","99 W","23","SESW","260 FSL  1420 FWL","BANKS","BAKKEN","HORIZONTAL","47.964526517267387","-103.32010853685617","OG","A","122235","06/06/2012"
"33061020020000","22236","LIME ROCK RESOURCES III-A, L.P.","HANSEN  18-19H","HANSEN","18-19H","FIDELITY EXPLORATION & PRODUCTION COMPANY","HANSEN  18-19H","05/11/2012","19320","MOUNTRAIL","155 N","91 W","18","NENW","280 FNL  2316 FWL","STANLEY","BAKKEN","HORIZONTAL","48.253961496043502","-102.42959579606797","OG","PA","122236","07/17/2014"
"33025015860000","22238","ENERPLUS RESOURCES USA CORPORATION","KNUCKLE  149-92-19C-18H","KNUCKLE","149-92-19C-18H","ENERPLUS RESOURCES USA CORPORATION","KNUCKLE  149-92-19C-18H","03/14/2012","20159","DUNN","149 N","92 W","19","SESW","405 FSL  2085 FWL","HEART BUTTE","BAKKEN","HORIZONTAL","47.704004181942423","-102.50548884202111","OG","IA","122238","07/21/2012"
"33025015880000","22240","ENERPLUS RESOURCES USA CORPORATION","NET  149-92-30B-31H","NET","149-92-30B-31H","ENERPLUS RESOURCES USA CORPORATION","NET  149-92-30B-31H","03/17/2012","20793","DUNN","149 N","92 W","19","SESW","405 FSL  2285 FWL","HEART BUTTE","BAKKEN","HORIZONTAL","47.704003599437698","-102.50467566542669","OG","A","122240","07/21/2012"
"33105025000000","22241","HESS BAKKEN INVESTMENTS II, LLC","GO-GRIMSON  158-98-3625H-1","GO-GRIMSON","158-98-3625H-1","HESS CORPORATION","GO-GRIMSON  158-98-3625H-1","03/11/2012","20077","WILLIAMS","158 N","98 W","36","SESW","325 FSL  2290 FWL","RAINBOW","BAKKEN","HORIZONTAL","48.46037650433864","-103.28846057724593","OG","A","122241","07/04/2012"
"33105025010000","22242","OASIS PETROLEUM NORTH AMERICA LLC","MARTIN  9-4H","MARTIN","9-4H","ZENERGY, INC","MARTIN  9-4H","02/05/2012","20190","WILLIAMS","153 N","102 W","9","SWSE","320 FSL  2455 FEL","ROSEBUD","BAKKEN","HORIZONTAL","48.083083279738183","-103.80775887074519","OG","A","122242","05/05/2012"
"33105025020000","22243","OASIS PETROLEUM NORTH AMERICA LLC","MARTIN   16-21H","MARTIN","16-21H","ZENERGY, INC","MARTIN   16-21H","03/08/2012","20478","WILLIAMS","153 N","102 W","9","SESW","320 FSL  2655 FEL","TRENTON","BAKKEN","HORIZONTAL","48.083082127831908","-103.80857787610493","OG","A","122243","05/05/2012"
"33025015890000","22246","SLAWSON EXPLORATION COMPANY, INC.","DAGGER  2-10H","DAGGER","2-10H","SLAWSON EXPLORATION COMPANY, INC.","DAGGER  2-10H","01/20/2012","15477","DUNN","144 N","97 W","10","NENE","500 FNL  950 FEL","CABERNET","BAKKEN","HORIZONTAL","47.311945511281174","-102.95103304293903","OG","A","122246","03/27/2012"
"33053039430000","22247","SLAWSON EXPLORATION COMPANY, INC.","MAGNUM  1-36-25H","MAGNUM","1-36-25H","SLAWSON EXPLORATION COMPANY, INC.","MAGNUM  1-36-25H","01/28/2012","20730","MCKENZIE","153 N","101 W","36","SWSW","250 FSL  815 FWL","BAKER","BAKKEN","HORIZONTAL","48.025028418505485","-103.62167581151971","OG","A","122247","04/05/2012"
"33025015900000","22248","XTO ENERGY INC.","TUCKERMAN  11X-11B","TUCKERMAN","11X-11B","XTO ENERGY INC.","TUCKERMAN  11X-11B","06/10/2012","20282","DUNN","148 N","96 W","11","NWNW","833 FNL  573 FWL","LOST BRIDGE","BAKKEN","HORIZONTAL","47.658900766581034","-102.88407288095102","OG","A","219447","08/13/2012"
"33053039440000","22249","SLAWSON EXPLORATION COMPANY, INC.","MAGNUM  2-36-25H","MAGNUM","2-36-25H","SLAWSON EXPLORATION COMPANY, INC.","MAGNUM  2-36-25H","03/18/2012","20728","MCKENZIE","153 N","101 W","36","SESE","205 FSL  240 FEL","BAKER","BAKKEN","HORIZONTAL","48.024920955103411","-103.60458758830104","OG","A","122249","02/14/2013"
"33105025030000","22251","OASIS PETROLEUM NORTH AMERICA LLC","GARY RUSSELL  19-20H","GARY RUSSELL","19-20H","ZENERGY, INC","GARY RUSSELL  19-20H","04/01/2012","21400","WILLIAMS","153 N","103 W","24","SESE","960 FSL  405 FEL","ROSEBUD","BAKKEN","HORIZONTAL","48.056055180894127","-103.86395755101798","OG","A","122251","06/05/2012"
"33013016500000","22252","OASIS PETROLEUM NORTH AMERICA LLC","DELTA  6093 34-15H","DELTA","6093 34-15H","OASIS PETROLEUM NORTH AMERICA LLC","DELTA  6093 34-15H","03/31/2012","18897","BURKE","160 N","93 W","15","NESE","2030 FSL  220 FEL","GROS VENTRE","BAKKEN","HORIZONTAL","48.682210780282198","-102.6691730280851","OG","A","222252","12/11/2012"
"33009022600000","22254","CORINTHIAN EXPLORATION (USA) CORP","CORINTHIAN BACKMAN  16-34  1-H","CORINTHIAN BACKMAN","16-34  1-H","CORINTHIAN EXPLORATION (USA) CORP","CORINTHIAN BACKMAN  16-34  1-H","03/05/2012","5779","BOTTINEAU","164 N","77 W","34","SESE","690 FSL  645 FEL","NORTH SOURIS","SPEARFISH","HORIZONTAL","48.982577197857381","-100.62344398031973","OG","A","222254","04/21/2012"
"33105025040000","22255","CONTINENTAL RESOURCES, INC.","LONGHORN  9-4-158-99H","LONGHORN","9-4-158-99H","SAMSON RESOURCES COMPANY","LONGHORN  9-4-158-99H","02/16/2012","19480","WILLIAMS","158 N","99 W","9","SWSE","349 FSL  2390 FEL","ELLISVILLE","BAKKEN","HORIZONTAL","48.518646498599182","-103.48166208614084","OG","A","122255","06/06/2012"
"33061020030000","22256","HUNT OIL COMPANY","LEE  2-8-5H","LEE","2-8-5H","HUNT OIL COMPANY","LEE  2-8-5H","05/06/2012","18948","MOUNTRAIL","154 N","89 W","8","SESW","225 FSL  2325 FWL","PARSHALL","BAKKEN","HORIZONTAL","48.168506941395535","-102.14976364657178","OG","A","218254","07/25/2012"
"33009022610000","22257","CORINTHIAN EXPLORATION (USA) CORP","CORINTHIAN BOWERS  8-3  1-H","CORINTHIAN BOWERS","8-3  1-H","CORINTHIAN EXPLORATION (USA) CORP","CORINTHIAN BOWERS  8-3  1-H","03/12/2012","5750","BOTTINEAU","163 N","77 W","3","SENE","1980 FNL  645 FEL","NORTH SOURIS","SPEARFISH","HORIZONTAL","48.975258834304462","-100.62355923556362","OG","A","222257","04/29/2012"
"33013016510000","22258","HESS BAKKEN INVESTMENTS II, LLC","AV-A AND S TRUST  162-94-17H-1","AV-A AND S TRUST","162-94-17H-1","HESS CORPORATION","AV-A AND S TRUST  162-94-17H-1","03/27/2012","12750","BURKE","162 N","94 W","17","SESW","320 FSL  1920 FWL","LARSON","BAKKEN","HORIZONTAL","48.851694196898706","-102.90952706508556","OG","A","122258","09/23/2012"
"33025015910000","22259","MARATHON OIL COMPANY","ERNEST CHARCHENKO  24-33H","ERNEST CHARCHENKO","24-33H","MARATHON OIL COMPANY","ERNEST CHARCHENKO  24-33H","03/22/2012","20981","DUNN","144 N","96 W","33","SWSW","450 FSL  1205 FWL","MURPHY CREEK","BAKKEN","HORIZONTAL","47.242466844691812","-102.85787007693796","OG","A","122259","05/18/2012"
"33025015920000","22260","MARATHON OIL COMPANY","LANDBLOM  24-26H","LANDBLOM","24-26H","MARATHON OIL COMPANY","LANDBLOM  24-26H","05/07/2012","21132","DUNN","144 N","96 W","26","SWSW","375 FSL  1000 FWL","MURPHY CREEK","BAKKEN","HORIZONTAL","47.256898103142802","-102.81636128034943","OG","A","122260","06/30/2012"
