Date,"Albany County, WY","Big Horn County, WY","Campbell County, WY","Carbon County, WY","Converse County, WY","Crook County, WY","Fremont County, WY","Goshen County, WY","Hot Springs County, WY","Johnson County, WY","Laramie County, WY","Lincoln County, WY","Natrona County, WY","Niobrara County, WY","Park County, WY","Platte County, WY","Sheridan County, WY","Sublette County, WY","Sweetwater County, WY","Teton County, WY","Uinta County, WY","Washakie County, WY","Weston County, WY"
06/1998,2.1,7.4,4.8,5.0,5.3,4.6,7.8,4.2,5.5,3.4,3.5,6.5,5.2,2.5,4.2,4.4,4.5,2.8,5.4,1.3,5.9,6.3,4.9
06/1999,1.7,6.5,5.1,4.3,4.5,4.1,7.7,3.4,5.6,3.0,3.3,6.0,5.7,2.4,3.9,3.8,4.3,3.8,6.4,1.4,7.0,7.4,5.0
06/2000,3.7,4.9,3.1,3.9,3.8,3.4,5.1,3.5,3.6,3.4,3.8,3.6,3.9,3.7,3.5,3.6,3.6,2.9,4.0,2.0,4.2,4.9,4.0
06/2001,3.8,4.8,2.7,4.0,3.8,3.2,5.0,4.1,4.2,3.4,4.2,3.4,3.8,3.3,3.8,4.0,3.7,2.5,4.0,2.2,3.6,4.8,3.9
06/2002,3.5,5.0,2.9,4.1,3.9,3.1,4.8,4.4,4.6,3.8,4.2,4.1,4.0,4.3,3.7,4.2,3.6,2.8,4.2,2.5,4.5,5.0,4.0
06/2003,3.5,4.5,3.7,4.9,4.4,3.8,5.2,4.6,3.8,4.3,4.5,4.1,4.4,4.2,3.7,5.1,4.1,2.9,4.2,2.8,4.6,4.2,4.3
06/2004,3.1,4.3,3.1,4.1,3.8,3.6,4.9,4.1,3.7,3.3,4.4,3.6,3.7,3.3,3.5,4.7,3.6,2.4,3.4,2.7,3.9,3.9,4.0
06/2005,3.2,4.5,2.7,3.9,3.6,3.4,4.8,4.5,3.9,3.6,4.3,3.8,3.7,3.8,3.5,4.6,3.7,2.2,3.1,2.8,3.5,4.2,4.2
06/2006,2.9,3.9,2.2,3.4,3.7,2.6,4.3,4.3,3.4,3.0,4.0,3.1,3.0,3.2,3.0,4.5,3.1,1.9,2.7,2.4,3.0,3.6,3.4
06/2007,2.9,4.0,2.3,3.1,3.0,2.6,4.0,3.8,3.5,3.3,3.8,2.6,2.8,2.6,2.8,4.4,2.9,1.6,2.4,2.1,2.9,3.8,3.4
06/2008,2.8,3.9,2.1,3.0,2.6,2.6,3.9,3.8,3.1,3.1,3.8,3.1,3.0,2.9,2.9,4.0,3.1,1.6,2.4,2.0,2.8,3.2,3.0
06/2009,5.1,9.2,5.7,7.6,6.0,5.8,8.5,5.9,6.7,8.1,6.8,7.9,7.1,5.5,5.8,6.2,6.8,5.1,7.4,5.7,7.4,6.5,7.0
06/2010,4.9,6.1,6.0,6.2,5.5,5.1,6.9,5.3,4.9,6.2,6.6,7.7,6.8,4.5,5.2,5.4,6.8,5.7,6.4,6.0,7.1,5.7,4.6
06/2011,4.5,5.7,4.9,5.5,4.8,4.7,6.1,5.0,5.0,5.5,5.9,6.9,5.9,4.1,4.8,4.9,6.2,4.5,5.3,5.5,6.0,5.3,4.3
06/2012,4.8,5.5,4.9,4.9,4.4,4.5,5.8,4.8,4.5,5.0,5.7,6.4,5.1,4.0,4.8,5.0,6.0,4.9,4.9,5.1,5.6,4.9,4.1
06/2013,4.1,5.0,4.2,3.8,3.6,4.1,5.3,4.5,4.5,4.5,4.6,5.0,4.6,3.6,4.3,4.2,5.0,4.3,4.4,4.0,5.4,4.5,3.5
06/2014,3.9,4.2,3.4,3.8,3.2,3.9,4.8,4.0,4.0,4.1,4.3,4.6,4.1,3.6,3.8,4.0,4.3,4.2,4.1,3.4,4.9,4.3,3.4
06/2015,3.6,4.3,4.4,3.6,4.0,3.5,5.6,3.7,4.2,4.5,4.1,4.4,5.3,3.2,3.8,3.7,3.9,5.1,5.3,3.0,5.5,4.4,3.4
06/2016,3.9,5.2,8.1,4.4,7.1,4.6,7.2,3.6,4.9,4.6,4.4,4.5,7.7,3.4,4.1,5.0,4.5,6.0,6.7,2.5,6.2,4.7,5.7
06/2017,3.2,4.0,5.1,3.6,4.2,3.0,5.4,3.1,3.7,3.7,3.7,3.2,5.1,3.2,3.5,3.5,3.6,3.9,4.5,2.2,4.3,4.1,3.7
07/1990,4.9,4.9,4.4,3.9,5.0,2.6,6.1,3.7,4.3,3.5,4.0,4.8,5.5,1.2,3.2,4.1,4.2,2.1,4.7,1.0,5.4,4.2,3.6
07/1991,3.3,5.6,4.2,4.4,4.4,2.2,6.0,3.9,5.9,3.2,3.5,5.6,6.0,2.6,3.2,4.8,4.6,1.6,5.9,1.0,6.5,4.2,2.9
07/1992,2.4,6.2,5.4,4.9,5.4,2.5,7.0,4.5,5.7,4.1,3.7,5.9,6.9,3.1,3.1,4.9,4.9,2.2,6.1,0.9,7.9,6.2,4.7
07/1993,2.7,6.1,4.7,4.6,5.7,3.0,6.5,4.6,4.7,3.6,3.8,6.7,6.9,3.2,3.0,4.7,3.9,2.7,5.6,1.0,7.6,6.9,3.9
07/1994,2.2,6.2,3.9,4.3,4.3,3.0,6.9,4.0,4.3,2.2,3.5,6.8,5.6,1.7,3.0,4.5,3.7,2.1,5.0,0.9,8.0,6.1,3.5
07/1995,2.1,5.2,4.6,4.4,4.4,3.0,6.7,4.7,4.3,2.8,3.3,6.1,5.0,1.8,3.0,4.0,3.7,2.7,5.2,0.9,6.3,6.5,3.8
07/1996,1.7,5.0,4.1,4.1,5.0,4.2,7.2,5.1,4.4,2.7,3.2,5.9,5.8,1.7,3.1,4.0,3.5,2.7,6.5,1.6,7.2,6.2,4.4
07/1997,1.9,5.1,4.5,3.6,5.4,3.5,7.5,4.0,3.7,3.3,3.1,4.9,5.3,1.8,3.2,3.6,3.7,2.0,5.5,1.2,5.5,5.6,4.3
07/1998,1.9,6.5,4.4,4.2,5.2,4.3,7.1,4.4,3.8,3.2,3.2,5.4,5.0,2.8,3.7,4.9,4.0,2.7,5.0,0.9,5.6,5.6,3.6
07/1999,1.6,6.4,4.4,3.8,4.2,3.4,7.2,3.4,4.6,3.0,3.2,4.9,4.8,1.9,3.5,4.1,3.8,2.8,5.5,1.0,6.4,6.6,4.1
07/2000,3.4,4.9,2.7,3.7,3.5,3.3,4.7,3.5,3.2,3.1,3.4,3.3,3.6,3.4,3.2,3.6,3.3,2.4,3.8,1.5,4.0,4.5,3.7
07/2001,3.3,4.5,2.4,3.5,3.6,2.8,4.7,3.7,3.8,3.1,3.8,3.0,3.5,3.1,3.3,3.6,3.5,2.2,3.8,1.7,3.4,4.4,3.5
07/2002,3.1,4.8,2.6,3.4,3.5,2.7,4.7,4.0,3.7,2.9,3.7,3.3,3.6,3.7,3.2,4.2,3.2,2.2,4.2,1.8,4.2,4.5,3.2
07/2003,3.3,4.2,3.2,4.5,4.0,3.5,4.8,4.1,3.3,3.5,4.1,3.6,4.1,3.6,3.4,4.7,3.9,2.6,3.9,2.2,4.1,3.6,4.1
07/2004,3.0,4.0,2.8,3.7,3.6,3.0,4.6,4.0,3.4,2.5,4.2,3.3,3.4,3.5,3.1,4.7,3.2,2.0,3.0,2.0,3.4,3.4,3.4
07/2005,2.8,4.0,2.5,3.5,3.4,2.8,4.6,4.2,3.7,3.2,3.9,3.6,3.3,4.0,3.1,4.5,3.5,1.9,2.8,2.2,3.0,3.7,3.9
07/2006,2.7,3.6,1.9,2.8,3.3,2.5,4.2,3.8,2.9,2.7,3.7,2.9,2.8,2.8,2.6,4.4,2.8,1.6,2.4,1.8,2.8,3.5,3.1
07/2007,2.6,3.8,2.0,2.8,2.6,2.4,3.7,3.5,3.1,3.0,3.4,2.2,2.7,2.1,2.4,4.3,2.6,1.4,2.2,1.5,2.6,3.3,3.0
