Time,"Adair County, OK","Alfalfa County, OK","Atoka County, OK","Beaver County, OK","Beckham County, OK","Blaine County, OK","Bryan County, OK","Caddo County, OK","Canadian County, OK","Carter County, OK","Cherokee County, OK","Choctaw County, OK","Cimarron County, OK","Cleveland County, OK","Coal County, OK","Comanche County, OK","Cotton County, OK","Craig County, OK","Creek County, OK","Custer County, OK","Delaware County, OK","Dewey County, OK","Ellis County, OK","Garfield County, OK","Garvin County, OK","Grady County, OK","Grant County, OK","Greer County, OK","Harmon County, OK","Harper County, OK","Haskell County, OK","Hughes County, OK","Jackson County, OK","Jefferson County, OK","Johnston County, OK","Kay County, OK","Kingfisher County, OK","Kiowa County, OK","Latimer County, OK","Le Flore County, OK","Lincoln County, OK","Logan County, OK","Love County, OK","Major County, OK","Marshall County, OK","Mayes County, OK","McClain County, OK","McCurtain County, OK","McIntosh County, OK","Murray County, OK","Muskogee County, OK","Noble County, OK","Nowata County, OK","Okfuskee County, OK","Oklahoma County, OK","Okmulgee County, OK","Osage County, OK","Ottawa County, OK","Pawnee County, OK","Payne County, OK","Pittsburg County, OK","Pontotoc County, OK","Pottawatomie County, OK","Pushmataha County, OK","Roger Mills County, OK","Rogers County, OK","Seminole County, OK","Sequoyah County, OK","Stephens County, OK","Texas County, OK","Tillman County, OK","Tulsa County, OK","Wagoner County, OK","Washington County, OK","Washita County, OK","Woods County, OK","Woodward County, OK"
08/1999,9011,2369,4962,2535,9902,4454,16453,12548,47095,20016,18154,5465,1690,114266,2463,42156,2168,6701,34128,11846,17594,2008,1654,27231,10647,18625,2163,2534,1233,1765,4778,5311,12875,3083,4896,21714,6541,4740,4230,19569,13567,14661,3786,3973,5402,16087,13496,15126,8056,5379,32014,5720,3547,3701,335926,13767,20602,13131,6412,37012,17526,17033,29164,5184,1976,37423,9976,17664,17658,14185,3446,306293,29496,18225,4880,4229,8796
08/2000,9373,2626,5166,2967,8746,4840,16554,11813,46519,20778,18332,6128,1627,110994,2403,43068,2859,7233,32206,13165,16156,2351,2216,27976,12349,21984,2596,2317,1512,2077,5200,5632,11783,2886,4593,21589,7065,4657,4570,20914,14814,16976,4142,4077,5741,18264,13796,15034,7974,5948,28614,5745,4835,4356,325794,17174,21016,15744,7991,33873,17205,16492,29987,4839,1915,36429,10366,17257,19302,10846,3864,299365,29738,22294,5710,4465,9169
08/2001,9316,2497,5369,3114,8999,4667,17573,12296,47159,21414,18612,6228,1537,113635,2490,42009,2835,6843,32360,12749,16291,2505,2239,26957,12850,21914,2582,2379,1499,2044,5486,5297,12164,2736,4519,22773,7416,4618,4742,20932,14840,17170,4285,3878,5635,17634,13881,15463,8015,6052,28728,5520,4902,4559,328062,17066,21112,15336,8027,33608,17732,16522,29888,4858,1944,37264,10699,17325,19417,10683,3720,299978,30208,22494,5997,4363,9688
08/2002,9199,2388,5454,2832,9001,4564,18017,12091,48362,21611,19715,6439,1415,114922,2380,44366,2833,6530,32516,12476,16786,2383,2158,27169,12750,22518,2534,2308,1461,2005,5571,5068,12263,2478,4548,22722,7148,4616,4182,21239,14995,17379,4338,3765,5819,16600,14007,14807,7982,5903,30438,5329,4958,4718,333254,17039,21150,14927,7974,33590,18324,16375,29472,4781,1896,38083,10445,17713,19423,10249,3825,300891,30816,22756,5737,4433,9519
08/2003,10037,2485,5642,2967,9360,4752,17874,12190,48463,22838,19767,6305,1480,114823,2309,45187,3114,6639,32099,12796,17222,2518,2266,27390,12983,22368,2642,2316,1424,2035,5684,5225,12635,2474,4872,21889,7304,4440,4120,21486,14751,17539,4602,3835,5944,16209,14008,14583,8322,6195,28686,5152,4965,4506,330307,16859,20701,14670,7840,33804,19282,17470,29558,5343,2002,38412,10596,17907,19845,10400,3799,295082,30931,23970,5850,4466,9593
08/2004,10422,2456,5486,3074,9584,4650,18390,12102,49805,23114,20775,6377,1486,116392,2221,45720,3332,6660,31704,13323,17431,2581,2283,27845,12986,22974,2670,2264,1488,1990,5369,5241,12514,2473,4641,21727,7890,4392,4161,21147,14790,18046,4655,3756,6103,16312,14268,14786,8392,6561,28648,5072,4955,4546,331977,16750,20506,15506,7779,32881,19563,17623,30186,5080,2000,38823,10076,17929,19438,10264,3690,291388,31224,24078,5895,4518,9858
08/2005,10135,2201,5552,2835,9712,4769,19083,12010,51428,23342,20448,6554,1306,118715,2131,45569,3255,6647,32582,13249,17428,2414,2174,27826,13055,23556,2502,2116,1371,1891,5353,5166,12299,2251,4845,20923,7476,4077,3853,21475,14854,18268,4734,3632,6093,16432,14770,13913,8400,7114,29529,5370,4941,4428,334627,16983,21017,15794,7899,34269,20096,18829,30437,5389,1859,40333,10007,18123,20421,9444,3473,297635,32422,25327,5823,4119,10365
08/2006,10502,2151,5760,2955,10686,4692,19825,11593,51410,24246,21455,6722,1299,117533,2294,45486,3293,6786,31820,13448,17534,2460,2285,28790,13598,23715,2368,2067,1422,1869,5478,5000,12533,2399,4972,21991,7938,3888,4062,21785,14560,17834,4878,3837,6266,17283,14808,13869,8205,8101,29323,5622,4880,4338,328719,16653,20714,16527,7721,34566,21463,20392,31474,5644,1830,40630,10406,18452,21267,9162,3470,296201,32937,26037,5874,4113,11434
08/2007,11019,2126,5809,2931,11777,4794,20638,11808,50712,25552,23492,6784,1178,117239,2435,44696,4104,7419,31071,14324,18652,2456,2289,30106,14500,22626,2489,1986,1287,1857,5598,4709,12715,2293,5039,23420,8228,3883,4201,21378,13854,16901,5086,3953,6340,18388,14628,13622,8387,8199,29808,5729,4897,4613,321687,16071,20205,16698,7382,35870,22949,20076,32547,5311,1830,40008,10512,17982,21885,9135,3341,292642,32627,27485,5885,4159,12177
08/2008,11058,2387,5972,3195,12740,4986,20221,12687,52049,26776,23509,7049,1282,119259,2424,46116,3963,7507,31373,14766,19101,2739,2561,32125,14833,22850,2645,2062,1353,2143,6063,5067,12383,2408,5210,24439,8528,4128,4639,20969,13832,17732,5294,4317,6560,18716,14957,14313,8567,8737,29938,5677,5068,4633,324486,15993,20172,18324,7334,35806,24280,20282,32724,5371,1994,40349,11068,17799,22436,9717,3578,294582,33388,27684,6232,4331,13135
08/2009,11537,2507,6340,3280,12153,4959,20727,13020,53221,28893,26247,7573,1376,120028,2603,48110,3918,7685,31141,15692,19967,2896,2517,32607,15185,23219,2809,2145,1440,2152,6344,5726,12414,2622,5287,23807,7653,4266,4403,20783,13812,18074,5674,4442,6682,18688,15148,15059,8980,9458,31837,5744,5334,4807,325579,15753,19634,18705,7269,35583,23745,21021,33763,5633,2025,40373,11011,17623,22485,7868,3642,293387,33256,28537,6402,4636,11827
08/2010,8982,2381,5045,2846,10456,4164,18483,11838,60329,20994,19752,6135,1465,131846,2173,51042,2982,6469,31788,14182,17332,2359,2095,28789,12019,25543,2595,2208,1290,1900,4736,5423,11477,2655,3741,20835,7227,4349,4620,20887,15713,19932,4705,4012,6357,18194,17267,14608,7362,6281,30135,5280,4913,4325,356349,16844,21208,14307,7658,37571,18745,17676,30769,5013,1881,43302,9733,18191,20012,8572,3379,306882,35219,24206,5525,4261,9534
08/2011,9071,2523,4930,2935,11592,4265,17626,11604,61449,21438,19415,6066,1379,133055,2332,50480,2919,6376,31288,15104,17646,2506,2158,28937,12104,25304,2561,2147,1320,1916,4721,5274,11207,2632,3717,20936,7419,4347,4309,20174,15518,20202,5006,4127,6571,18204,17270,14786,7243,6572,29630,5313,4898,4386,357164,16527,21270,14121,7619,37070,19051,18078,30935,4980,1999,43020,9827,17478,20510,8900,3369,304151,35134,24200,5572,4459,9968
08/2012,8517,2730,4947,3092,12782,4265,17732,11671,63440,21659,19258,5867,1229,136228,2421,50712,2862,6286,31622,15542,17023,2339,2325,29628,12315,25530,2663,2006,1382,1918,4722,5607,11032,2557,3565,20362,7607,4313,4477,20308,15552,20576,5138,4082,6730,18513,17545,14571,7384,6701,29861,5382,4924,4242,365804,16504,21330,14398,7483,37800,19213,18322,31665,4888,2206,43795,9902,17322,20530,8838,3335,310408,36074,24603,5679,5323,10694
08/2013,8263,2856,4859,2970,12814,4164,17989,11415,64751,21724,18848,6068,1248,136966,2299,49792,2865,6174,31250,15855,16927,2904,2377,29321,12324,25542,2699,2013,1354,1939,4472,5520,10802,2572,3594,19790,7696,4223,4053,19622,15466,20754,5228,4159,6920,18761,17830,14333,7339,6479,29453,5410,4827,4334,368284,16228,21134,13895,7401,37414,17634,17540,31915,4767,1934,43859,9658,16764,20700,9287,3315,311327,35959,24671,5685,5056,10748
08/2014,8118,3051,4677,3123,13060,4440,17737,11088,65740,21583,18691,5865,1304,135371,2318,48997,2842,5968,30793,15786,16928,2476,2337,29917,12556,25332,2957,2079,1284,2006,4307,5588,10710,2511,3611,19302,7927,4101,3857,19253,15430,20962,5431,4365,6817,18396,18077,14185,6922,6589,28962,5439,4743,4436,368014,15893,20929,13627,7275,37937,16868,17585,31675,4746,1822,43511,9351,16575,20335,9347,3180,309739,35390,24377,5733,5343,10731
08/2015,8229,3049,4756,2939,12106,4678,18249,11955,68424,22252,19235,5893,1369,138422,2329,49472,2843,6316,31217,15230,17408,2524,2382,30154,12743,26229,3226,2193,1301,1947,4480,5575,10792,2616,3970,19150,8104,4189,3735,19560,15820,21516,6026,4146,6645,19313,18753,14655,6957,6729,29411,5577,4834,4497,375054,16121,21152,14319,7412,38550,17225,18137,32553,4827,1834,44574,9384,16666,19931,9707,3301,317076,36150,24482,5618,5304,10244
08/2016,8253,2857,4966,2826,11230,4398,19331,12122,69301,22414,19484,5831,1457,138692,2234,49478,2911,6253,31388,14922,17991,2850,2282,29243,12463,26069,3046,2192,1288,1973,4473,5409,11047,2710,4262,19061,8476,4145,3638,19784,15859,21541,6553,4009,6464,19248,18929,14824,7035,6364,29700,5711,4702,4503,373852,16071,21000,14254,7471,39239,17185,18324,32488,4970,1798,44781,9275,16820,18540,9234,3270,316804,36436,23920,5379,5113,9447
08/2017,8473,2865,5296,3161,11619,4869,20411,12571,69874,21872,19144,5689,1461,140152,2186,48938,2858,6175,31399,15230,18626,2593,2270,27718,12654,26114,2982,2095,1279,1921,4368,5337,10761,2482,5016,19289,8788,3922,3392,19362,15849,21738,6485,4057,6416,19129,19045,14826,6786,6385,29506,5689,4621,4428,377770,16055,21027,14449,7429,38267,17781,18473,32788,4748,1888,44919,9161,16565,17927,9313,3208,318671,36700,23243,5656,4894,9496
09/1990,8902,2746,4611,3097,8336,5006,14016,11812,39396,19584,16025,5753,1612,94650,2416,41981,2925,6324,29313,13380,12247,2216,2157,26491,11670,19519,2492,2386,1338,2045,4440,5141,10960,2823,3975,23018,6379,4703,4172,17975,13063,13487,3624,3608,4516,14783,11194,13946,6494,5284,29600,5289,4389,4422,306584,15223,18987,13771,7596,30911,17178,15909,26372,4201,1966,28572,10337,15278,19312,8231,4234,269768,24372,23194,5127,4227,9245
