Date,SP500
08/2010,1087.282272727273
09/2010,1122.0819047619048
10/2010,1171.5838095238091
11/2010,1198.8885714285711
12/2010,1241.5254545454545
01/2011,1282.6185
02/2011,1321.117894736842
03/2011,1304.4860869565218
04/2011,1331.505
05/2011,1338.3104761904758
06/2011,1287.2886363636362
07/2011,1325.1844999999998
08/2011,1185.3056521739127
09/2011,1173.879047619048
10/2011,1207.2161904761904
11/2011,1226.4142857142858
12/2011,1243.3228571428572
01/2012,1300.5775
02/2012,1352.4875
03/2012,1389.24
04/2012,1386.4289999999996
05/2012,1341.2727272727273
06/2012,1323.4842857142858
07/2012,1359.7761904761905
08/2012,1403.4404347826087
09/2012,1443.4194736842105
10/2012,1437.8166666666666
11/2012,1394.5123809523811
12/2012,1422.2854999999997
01/2013,1480.3952380952383
02/2013,1512.3115789473684
03/2013,1550.8289999999995
04/2013,1570.7022727272727
05/2013,1639.8427272727274
06/2013,1618.7725
07/2013,1668.6754545454546
08/2013,1670.0936363636363
09/2013,1687.1735
10/2013,1720.0265217391304
11/2013,1783.5409999999997
12/2013,1807.7752380952381
01/2014,1822.3566666666666
02/2014,1817.034736842105
03/2014,1863.5233333333333
04/2014,1864.2633333333333
05/2014,1889.7671428571425
06/2014,1947.0876190476192
07/2014,1973.0999999999995
08/2014,1961.5319047619046
09/2014,1993.2261904761908
10/2014,1937.2743478260873
11/2014,2044.572105263158
12/2014,2054.2663636363636
01/2015,2028.1785
02/2015,2082.1957894736843
03/2015,2079.9904545454547
04/2015,2094.862857142857
05/2015,2111.9435
06/2015,2099.283636363636
07/2015,2094.1436363636367
08/2015,2039.866190476191
09/2015,1944.4023809523806
10/2015,2024.8127272727274
11/2015,2080.616499999999
12/2015,2054.0795454545455
01/2016,1918.5978947368426
02/2016,1904.4185000000002
03/2016,2021.954090909091
04/2016,2075.535238095238
05/2016,2065.550952380952
06/2016,2083.8913636363636
07/2016,2148.902
08/2016,2177.4821739130434
09/2016,2157.6909523809522
10/2016,2143.0209523809526
11/2016,2164.985714285714
12/2016,2246.6290476190475
01/2017,2275.1160000000004
02/2017,2329.9105263157894
03/2017,2366.822173913043
04/2017,2359.30947368421
05/2017,2395.345909090909
06/2017,2433.985454545454
07/2017,2454.1025
08/2017,2456.2230434782614
